,CCDC200,AC108010.1,CELF2-AS1,ALKBH5,AC087222.1,Diagnosis
RNA29_FPKM,0.229325083,13.32472126,3.815341189,19.70661944,1.606185603,0
RNA295_FPKM,0.170707525,6.859412865,1.681328669,26.6083106,0.398583781,0
RNA3_FPKM,0.294323319,11.07602345,2.830829011,24.02875998,2.248873235,0
RNA302_FPKM,0.159387097,5.462027962,1.640752112,24.05387579,0.893119373,0
RNA303_FPKM,0.085266222,3.054508497,0.822865771,27.32813243,0.149283741,1
RNA31_FPKM,0.353383051,3.000694858,0.269460072,19.79237425,0.0,1
RNA314_FPKM,0.160752197,5.789094461,1.072563023,29.06047596,0.375234457,1
RNA319_FPKM,0.15227534,5.492144591,0.590942553,25.25998797,0.304679932,0
RNA32_FPKM,0.253538369,25.56522305,11.5189514,17.50351561,0.591834485,1
RNA328_FPKM,0.180324668,14.76519533,6.928777719,25.17423076,0.473686237,0
RNA331_FPKM,0.375615436,6.56481268,1.243645708,30.89924972,0.553906681,0
RNA334_FPKM,0.263937874,1.956638629,0.531097561,27.23148304,0.410787412,0
RNA335_FPKM,0.178722098,6.91039,1.861632123,29.60985394,0.53652349,1
RNA336_FPKM,0.14454801,6.524781779,2.638912109,25.09072765,0.311444671,0
RNA35_FPKM,0.209734866,10.35173236,1.799183662,25.6435683,0.293810947,0
RNA358_FPKM,0.337040642,18.14240236,6.585534183,28.33560558,0.78680451,0
RNA365_FPKM,0.294996209,17.125751,5.181730981,22.71991345,0.787045346,0
RNA368_FPKM,0.15127433,5.898460627,1.884775228,24.72327114,0.605459302,0
RNA37_FPKM,0.328639476,21.23884722,6.027210299,23.25485823,1.269970803,0
RNA379_FPKM,0.204892478,18.06704383,5.36294265,24.27337036,1.545357255,1
RNA38_FPKM,0.242419747,11.31519444,7.353776159,15.58473251,0.295310195,0
RNA383_FPKM,0.194967487,15.07746383,4.361664723,24.2072761,1.124584958,0
RNA385_FPKM,0.285468798,16.43735143,4.231784957,31.37956523,1.47323118,1
RNA386_FPKM,0.262262563,7.555801966,0.928479692,21.12713903,1.049693879,0
RNA39_FPKM,0.373972541,14.99191548,8.655233152,23.61453951,0.327390628,1
RNA392_FPKM,0.363283166,13.04344059,3.338989204,26.90278808,1.272168345,0
RNA409_FPKM,0.251857554,18.27394358,4.717198422,24.50916735,0.705635729,0
RNA41_FPKM,0.180727104,1.595896964,0.364781418,17.49810062,0.0,0
RNA418_FPKM,0.223166834,11.31897154,2.775831067,28.27448007,0.78148862,0
RNA431_FPKM,0.37484599,13.42840031,4.019513044,25.6408566,1.312653067,1
RNA44_FPKM,0.10252248,12.6432569,4.038889553,22.12059155,0.638297426,1
RNA442_FPKM,0.157628873,3.175460876,0.804863117,26.59810554,0.315394117,0
RNA454_FPKM,0.209257386,8.249707797,0.997258459,24.41777061,0.977149124,0
RNA457_FPKM,0.260899659,20.17620498,7.576950916,19.91393443,1.48475646,0
RNA466_FPKM,0.241593676,14.54849442,4.802822717,26.37154298,1.611523006,0
RNA471_FPKM,0.292068512,18.84508179,7.846010697,24.49899384,1.399672997,0
RNA476_FPKM,0.229281167,18.19482389,6.046393624,24.68234309,1.427567687,0
RNA483_FPKM,0.188499553,12.99070783,3.988618697,23.33005156,1.056172399,0
RNA488_FPKM,0.092108031,13.26846649,3.745903891,28.90487656,0.430034699,0
RNA499_FPKM,0.108261002,8.569179159,2.940908574,28.05279162,0.303302647,0
RNA50_FPKM,0.094699791,7.562802823,1.293792319,28.52939837,0.884418223,1
RNA504_FPKM,0.235648583,18.14688847,5.246274626,20.92515869,1.021767007,0
RNA519_FPKM,0.309544134,9.369251223,2.553238973,24.41383974,0.833784449,0
RNA52_FPKM,0.0,3.229976793,1.471986709,23.51861506,0.0,0
RNA521_FPKM,0.312321278,13.33308762,4.213466451,24.11775657,1.570469393,0
RNA528_FPKM,0.172553159,19.00652652,6.801895858,20.233602,0.863321869,0
RNA53_FPKM,0.21453616,18.01374755,6.134545063,27.12526774,2.003472608,0
RNA535_FPKM,0.180605994,3.902372445,0.451868584,21.50044368,0.158070236,1
RNA58_FPKM,0.084664182,13.81045359,4.18494498,22.45110626,0.338803645,0
RNA6_FPKM,0.242928338,12.84024366,2.977124867,26.46861808,1.134249251,0
RNA60_FPKM,0.212746838,18.06514748,6.725530266,26.07931828,0.827875844,0
RNA62_FPKM,0.060166747,9.634684855,2.75287882,20.4270105,0.505715097,0
RNA63_FPKM,0.147017722,7.691081859,3.092916213,21.44462502,0.441321167,0
RNA64_FPKM,0.266261874,8.527042475,2.740918363,20.98761987,0.0,0
RNA66_FPKM,0.17460311,3.924630531,1.262877731,18.1096165,0.143912355,0
RNA67_FPKM,0.258815056,23.22580576,5.44963124,24.47782031,1.483119602,0
RNA69_FPKM,0.18753034,12.6958544,1.671814322,23.83602122,0.618162549,0
RNA7_FPKM,0.140242414,13.87603416,5.848341058,20.97477412,0.327467855,0
RNA72_FPKM,0.1730966,20.62081994,2.969837874,24.36696775,0.909331,0
RNA74_FPKM,0.181940667,7.402918281,0.953821257,28.37430417,0.707887049,0
RNA75_FPKM,0.258090781,6.79278393,0.474440407,26.75815737,0.387296272,0
RNA78_FPKM,0.136356491,7.960053488,2.111917651,17.1587976,0.954977079,1
RNA86_FPKM,0.262854064,14.79683011,4.478366589,29.74175012,1.380829086,1
RNA87_FPKM,0.259574179,22.32292592,8.306157869,24.60529076,0.519414921,0
RNA89_FPKM,0.149210741,2.666490358,0.883777005,20.62081107,0.0,0
RNA94_FPKM,0.21982944,15.64980789,7.480160961,3.253583509,0.0,1
RNA95_FPKM,0.27585408,24.20808682,6.540384745,21.41667932,0.966036608,0
RNA97_FPKM,0.14901515,19.22663057,7.592335337,24.602596,1.518163487,0
RNA98_FPKM,0.268147752,17.46259788,4.762045722,24.84432852,1.186167374,1
R_JS001_FPKM,0.553584597,28.36047884,21.78466866,29.89399355,2.769557656,1
R_JS002_FPKM,0.611144192,22.73838562,10.25043672,37.20122544,2.044360828,1
R_JS003_FPKM,0.3966598,25.6737723,12.9949787,36.44839939,1.587584343,1
R_JS004_FPKM,0.480198461,23.82533012,13.34788332,25.82286827,2.659383883,1
R_JS005_FPKM,0.292128963,35.72067075,19.0790524,29.44318273,3.273732855,1
R_JS006_FPKM,0.306745695,18.94527201,8.602739988,29.7951312,0.661084869,1
R_JS007_FPKM,0.354294361,10.01188958,2.824351935,30.65974236,0.751928448,1
R_JS008_FPKM,0.486041704,35.5972608,19.21436994,28.81002616,1.19153543,1
R_JS009_FPKM,0.389072134,21.35622478,9.716033066,31.45363931,0.545066025,1
R_JS010_FPKM,0.210407229,25.40793933,10.96659401,21.51362559,0.53586089,1
R_JS011_FPKM,0.465805174,41.07198036,25.72883065,24.93471526,4.567429056,1
R_JS012_FPKM,0.262084343,37.44644942,14.71592018,30.76655434,1.66866254,1
R_JS013_FPKM,0.326935341,29.65898969,9.321739976,37.17430542,1.046797018,1
R_JS014_FPKM,0.432811627,32.29512959,18.52724332,24.38776604,2.171764565,1
R_JS015_FPKM,0.569619817,34.06947105,14.4481879,33.12593246,1.625361883,1
R_JS016_FPKM,0.41641105,31.84140151,19.19319226,36.49427755,2.222086431,1
R_JS017_FPKM,0.390778717,38.66374376,20.14454612,25.70580811,2.128763773,1
R_JS018_FPKM,0.66774985,27.55877555,9.789916866,31.40702628,3.231354777,1
R_JS019_FPKM,0.31859392,16.85423234,5.702114798,33.12291967,0.826360395,1
R_JS020_FPKM,0.415389837,35.04352313,12.05790527,41.14917953,2.468556578,1
R_JS021_FPKM,0.735502278,20.58164132,7.966436014,33.35426584,1.40497369,1
R_JS022_FPKM,0.408672245,35.88470189,23.69010247,27.75029424,3.469413466,1
R_JS023_FPKM,0.379668017,33.28567816,12.66578403,39.45283363,1.450478487,1
R_JS024_FPKM,0.202926661,24.57843713,12.65729734,36.27463837,1.066071156,1
R_JS025_FPKM,0.528461021,30.18320963,9.503277644,40.74141289,1.974018905,1
R_JS026_FPKM,0.382266426,32.78374788,12.15242213,37.38110206,1.57492153,1
R_JS027_FPKM,0.405545573,29.11596438,12.07536729,30.34582757,1.97591268,1
R_JS028_FPKM,0.460561991,27.08959837,12.86316014,32.89959697,2.850574807,1
R_JS029_FPKM,0.473979321,24.50161592,10.10342166,37.15612728,2.263487112,1
R_JS030_FPKM,0.692419927,36.55825551,12.72357322,27.72481497,2.703130295,1
R_JS031_FPKM,0.657461387,25.36401646,10.08682685,32.79786704,1.59407159,1
R_JS032_FPKM,0.330723043,16.06238846,5.562938925,36.95931918,1.771375511,1
R_JS033_FPKM,0.338325487,13.63129283,2.798591453,42.83414116,2.877409121,1
R_JS034_FPKM,0.452952309,34.35843651,16.28719542,32.58098885,3.013815388,1
R_JS035_FPKM,0.35220637,14.21919427,5.224384842,30.01487805,1.387519488,1
R_JS036_FPKM,0.697883092,40.57999237,14.95219416,37.92317893,1.841798042,1
R_JS037_FPKM,0.564476677,24.68604176,8.7308969,28.28942228,6.469639659,1
R_JS038_FPKM,0.340145294,21.66261188,7.885361821,30.8529518,0.850874549,1
R_JS039_FPKM,0.461264248,16.33639316,5.464225392,35.30477097,2.615244821,1
R_JS040_FPKM,0.285065974,23.75623138,9.325006273,30.89941814,1.118002748,1
R_JS041_FPKM,0.518616752,30.40147177,11.62790853,42.10486581,2.311454087,1
